#Horizon flight at 1000psi,,,
#10th August 2024,,,
time,altitude f,speed,speed averaged
s,feet,f/s,f/s
35,4869,0,-6.666666667
35.05,4869,0,-20
35.1,4866,-60,-20
35.15,4866,0,-53.33333333
35.2,4861,-100,-40
35.25,4860,-20,-46.66666667
35.3,4859,-20,-20
35.35,4858,-20,-26.66666667
35.4,4856,-40,-46.66666667
35.45,4852,-80,-40
35.5,4852,0,-26.66666667
35.55,4852,0,-13.33333333
35.6,4850,-40,-26.66666667
35.65,4848,-40,-46.66666667
35.7,4845,-60,-26.66666667
35.75,4846,20,-40
35.8,4842,-80,-13.33333333
35.85,4843,20,-40
35.9,4840,-60,-20
35.95,4839,-20,-33.33333333
36,4838,-20,-20
36.05,4837,-20,-20
36.1,4836,-20,-33.33333333
36.15,4833,-60,-33.33333333
36.2,4832,-20,-33.33333333
36.25,4831,-20,-26.66666667
36.3,4829,-40,-20
36.35,4829,0,-26.66666667
36.4,4827,-40,-26.66666667
36.45,4825,-40,-26.66666667
36.5,4825,0,-20
36.55,4824,-20,-13.33333333
36.6,4823,-20,-20
36.65,4822,-20,-26.66666667
36.7,4820,-40,-20
36.75,4820,0,-20
36.8,4819,-20,-13.33333333
36.85,4818,-20,-26.66666667
36.9,4816,-40,-33.33333333
36.95,4814,-40,-40
37,4812,-40,-26.66666667
37.05,4812,0,-20
37.1,4811,-20,-13.33333333
37.15,4810,-20,-33.33333333
37.2,4807,-60,-26.66666667
37.25,4807,0,-40
37.3,4804,-60,-20
37.35,4804,0,-26.66666667
37.4,4803,-20,-20
37.45,4801,-40,-26.66666667
37.5,4800,-20,-33.33333333
37.55,4798,-40,-33.33333333
37.6,4796,-40,-33.33333333
37.65,4795,-20,-26.66666667
37.7,4794,-20,-20
37.75,4793,-20,-26.66666667
37.8,4791,-40,-20
37.85,4791,0,-26.66666667
37.9,4789,-40,-13.33333333
37.95,4789,0,-20
38,4788,-20,-20
38.05,4786,-40,-33.33333333
38.1,4784,-40,-26.66666667
38.15,4784,0,-26.66666667
38.2,4782,-40,-26.66666667
38.25,4780,-40,-20
38.3,4781,20,-26.66666667
38.35,4778,-60,-20
38.4,4777,-20,-40
38.45,4775,-40,-33.33333333
38.5,4773,-40,-13.33333333
38.55,4775,40,-26.66666667
38.6,4771,-80,-26.66666667
38.65,4769,-40,-40
38.7,4769,0,-26.66666667
38.75,4767,-40,-13.33333333
38.8,4767,0,-26.66666667
38.85,4765,-40,-20
38.9,4764,-20,-33.33333333
38.95,4762,-40,-20
39,4762,0,-26.66666667
39.05,4760,-40,-26.66666667
39.1,4758,-40,-40
39.15,4756,-40,-26.66666667
39.2,4756,0,-20
39.25,4755,-20,-20
39.3,4753,-40,-26.66666667
39.35,4752,-20,-20
39.4,4752,0,-13.33333333
39.45,4751,-20,-26.66666667
39.5,4748,-60,-40
39.55,4746,-40,-33.33333333
39.6,4746,0,-20
39.65,4745,-20,-26.66666667
39.7,4742,-60,-33.33333333
39.75,4741,-20,-33.33333333
39.8,4740,-20,-33.33333333
39.85,4737,-60,-26.66666667
39.9,4737,0,-20
39.95,4737,0,-13.33333333
40,4735,-40,-26.66666667
40.05,4733,-40,-33.33333333
40.1,4732,-20,-33.33333333
40.15,4730,-40,-20
40.2,4730,0,-20
40.25,4729,-20,-26.66666667
40.3,4726,-60,-26.66666667
40.35,4726,0,-40
40.4,4723,-60,-20
40.45,4723,0,-40
40.5,4720,-60,-26.66666667
40.55,4719,-20,-40
40.6,4717,-40,-26.66666667
40.65,4716,-20,-26.66666667
40.7,4715,-20,-13.33333333
40.75,4715,0,-33.33333333
40.8,4711,-80,-40
40.85,4709,-40,-40
40.9,4709,0,-13.33333333
40.95,4709,0,-6.666666667
41,4708,-20,-20
41.05,4706,-40,-26.66666667
41.1,4705,-20,-26.66666667
41.15,4704,-20,-20
41.2,4703,-20,-20
41.25,4702,-20,-20
41.3,4701,-20,-26.66666667
41.35,4699,-40,-26.66666667
41.4,4698,-20,-26.66666667
41.45,4697,-20,-26.66666667
41.5,4695,-40,-26.66666667
41.55,4694,-20,-26.66666667
41.6,4693,-20,-26.66666667
41.65,4691,-40,-26.66666667
41.7,4690,-20,-26.66666667
41.75,4689,-20,-20
41.8,4688,-20,-6.666666667
41.85,4689,20,-26.66666667
41.9,4685,-80,-26.66666667
41.95,4684,-20,-46.66666667
42,4682,-40,-40
42.05,4679,-60,-26.66666667
42.1,4680,20,-13.33333333
42.15,4680,0,-13.33333333
42.2,4677,-60,-33.33333333
42.25,4675,-40,-33.33333333
42.3,4675,0,-33.33333333
42.35,4672,-60,-20
42.4,4672,0,-20
42.45,4672,0,-20
42.5,4669,-60,-20
42.55,4669,0,-33.33333333
42.6,4667,-40,-20
42.65,4666,-20,-26.66666667
42.7,4665,-20,-26.66666667
42.75,4663,-40,-33.33333333
42.8,4661,-40,-33.33333333
42.85,4660,-20,-20
42.9,4660,0,-20
42.95,4658,-40,-33.33333333
43,4655,-60,-40
43.05,4654,-20,-26.66666667
43.1,4654,0,-20
43.15,4652,-40,-20
43.2,4651,-20,-26.66666667
43.25,4650,-20,-26.66666667
43.3,4648,-40,-26.66666667
43.35,4647,-20,-20
43.4,4647,0,-13.33333333
43.45,4646,-20,-26.66666667
43.5,4643,-60,-26.66666667
43.55,4643,0,-26.66666667
43.6,4642,-20,-20
43.65,4640,-40,-33.33333333
43.7,4638,-40,-26.66666667
43.75,4638,0,-33.33333333
43.8,4635,-60,-26.66666667
43.85,4634,-20,-33.33333333
43.9,4633,-20,-20
43.95,4632,-20,-26.66666667
44,4630,-40,-20
44.05,4630,0,-20
44.1,4629,-20,-20
44.15,4627,-40,-26.66666667
44.2,4626,-20,-40
44.25,4623,-60,-26.66666667
44.3,4623,0,-26.66666667
44.35,4622,-20,-6.666666667
44.4,4622,0,-20
44.45,4620,-40,-13.33333333
44.5,4620,0,-13.33333333
44.55,4620,0,-26.66666667
44.6,4616,-80,-33.33333333
44.65,4615,-20,-33.33333333
44.7,4615,0,-26.66666667
44.75,4612,-60,-26.66666667
44.8,4611,-20,-26.66666667
44.85,4611,0,-20
44.9,4609,-40,-33.33333333
44.95,4606,-60,-40
45,4605,-20,-40
45.05,4603,-40,-33.33333333
45.1,4601,-40,-33.33333333
45.15,4600,-20,-26.66666667
45.2,4599,-20,-26.66666667
45.25,4597,-40,-20
45.3,4597,0,-33.33333333
45.35,4594,-60,-26.66666667
45.4,4593,-20,-40
45.45,4591,-40,-26.66666667
45.5,4590,-20,-20
45.55,4590,0,-26.66666667
45.6,4587,-60,-13.33333333
45.65,4588,20,-26.66666667
45.7,4586,-40,-6.666666667
45.75,4586,0,-20
45.8,4585,-20,-26.66666667
45.85,4582,-60,-20
45.9,4583,20,-26.66666667
45.95,4581,-40,-20
46,4579,-40,-26.66666667
